Fecha,Nacidos,Tasa_natalidad,Indice_fecundidad,Esperanza_de_vida,Muertes,Tasa_mortalidad
2020,1629211,15.57,1.91,70.13,1086743,9.33
2019,2092214,15.71,1.92,74.2,747784,6.93
2018,2162535,16.47,2,74.02,722611,6.86
2017,2234039,16.95,2.04,74.14,703047,6.62
2016,2293708,17.42,2.09,74.41,685766,6.31
2015,2353596,17.97,2.14,74.68,655688,6.01
2014,2463420,18.71,2.21,74.8,633641,5.81
2013,2478889,19.33,2.27,74.74,623599,5.7
2012,2498880,19.64,2.29,74.57,602354,5.64
2011,2586287,19.92,2.32,74.37,590693,5.1
2010,2643908,20.15,2.34,74.19,592018,5.2
2009,2577214,20.44,2.36,74.12,564673,5
2008,2636110,20.75,2.39,74.15,539530,4.8
2007,2655083,21.08,2.42,74.24,514420,4.7
2006,2505939,21.46,2.46,74.33,494471,4.6
2005,2567906,21.9,2.5,74.38,495240,4.6
2004,2625056,22.35,2.54,74.37,473417,4.5
2003,2655894,22.8,2.58,74.27,472140,4.5
2002,2699084,23.26,2.62,74.11,459687,4.4
2001,2767610,23.72,2.67,73.87,443127,4.3
2000,2798339,24.16,2.72,73.57,437667,4.3
1999,2769089,24.62,2.77,73.23,443950,4.5
1998,2668428,24.93,2.8,72.85,444665,4.5
1997,2698425,25.51,2.87,72.45,440437,4.5
1996,2707718,26.23,2.96,72.04,436321,4.6
1995,2750444,26.87,3.04,71.65,430278,4.6
1994,2904389,27.54,3.13,71.28,419074,4.5
1993,2839686,28.14,3.22,70.94,416335,4.5
1992,2797397,28.59,3.29,70.62,409814,4.5
1991,2756447,28.94,3.37,70.3,411131,4.6
1990,2735312,29.3,3.45,69.97,422803,4.9